Doctor's Name,Speciality,Keywords,Experience (Years),Rating,Location,Treated_Diseases,Phone,Email
Dr. Arjun Sharma,Cardiologist,"Chest Pain, Palpitations, Breathlessness, High Cholesterol, ECG",15,4.7,Mumbai,"Hypertension, Coronary Artery Disease, Heart Failure",+91 98765 43210,arjunsharma@heartclinic.com
Dr. Priya Patel,Dermatologist,"Acne, Eczema, Psoriasis, Hair Loss, Skin Allergies",8,4.2,Delhi,"Skin Infections, Dermatitis, Pigmentation Disorders",+91 99876 54321,priyapatel@skincaredelhi.com
Dr. Rohan Verma,Neurologist,"Headaches, Migraines, Seizures, Stroke, Parkinson's",22,4.9,Bangalore,"Epilepsy, Multiple Sclerosis, Neuropathy",+91 97654 32109,rohanverma@brainhealth.com
Dr. Anjali Singh,Gynecologist,"Pregnancy, Infertility, Menopause, PCOS, Fibroids",12,4.5,Chennai,"Uterine Fibroids, Endometriosis, Ovarian Cysts",+91 96543 21098,anjalisingh@womenshealth.in
Dr. Vikram Reddy,Orthopedist,"Knee Pain, Back Pain, Arthritis, Fractures, Sports Injuries",28,4.8,Hyderabad,"Osteoarthritis, Rheumatoid Arthritis, Spinal Stenosis",+91 95432 10987,vikramreddy@boneandjoint.com
Dr. Neha Kapoor,Pediatrician,"Fever, Cough, Cold, Vaccinations, Growth Issues",7,4.3,Kolkata,"Asthma, Chickenpox, Measles",+91 94321 09876,nehakapoor@kidshealth.org
Dr. Suresh Kumar,Gastroenterologist,"Abdominal Pain, Indigestion, Constipation, Diarrhea, Ulcers",19,4.6,Pune,"Acid Reflux, Irritable Bowel Syndrome, Crohn's Disease",+91 93210 98765,sureshkumar@digestivehealth.com
Dr. Deepika Joshi,Endocrinologist,"Diabetes, Thyroid Problems, Hormonal Imbalance, Weight Gain",14,4.4,Ahmedabad,"Hyperthyroidism, Hypothyroidism, PCOS",+91 92109 87654,deepikajoshi@endohealth.in
Dr. Amit Patel,Urologist,"Kidney Stones, Urinary Infections, Prostate Problems, Incontinence",10,4.1,Jaipur,"Benign Prostatic Hyperplasia, Urinary Tract Infections, Kidney Cancer",+91 91098 76543,amitpatel@urologyclinic.com
Dr. Ritu Sharma,Ophthalmologist,"Vision Problems, Cataracts, Glaucoma, Eye Infections, Dry Eyes",25,4.7,Lucknow,"Diabetic Retinopathy, Macular Degeneration, Conjunctivitis",+91 90987 65432,ritusharma@eyecarecenter.com
Dr. Rahul Gupta,Cardiologist,"Shortness of Breath, Chest Discomfort, Arrhythmias, High Blood Pressure",9,4.0,Mumbai,"Atrial Fibrillation, Cardiomyopathy, Valvular Heart Disease",+91 98877 66554,rahulgupta@cardio.in
Dr. Sunita Nair,Dermatologist,"Rash, Itching, Skin Lesions, Rosacea, Sun Damage",16,4.6,Delhi,"Acne Scars, Eczema, Fungal Infections",+91 99766 55443,sunitanair@skindocs.com
Dr. Manish Kumar,Neurologist,"Dizziness, Numbness, Tremors, Memory Loss, Multiple Sclerosis",32,4.8,Bangalore,"Amyotrophic Lateral Sclerosis (ALS), Myasthenia Gravis, Peripheral Neuropathy",+91 97766 55442,manishkumar@neurocare.net
Dr. Shweta Desai,Gynecologist,"Pelvic Pain, Irregular Periods, Ovarian Cysts, Hysterectomy, Fertility Treatment",6,4.2,Chennai,"Polycystic Ovary Syndrome (PCOS), Premenstrual Syndrome (PMS), Vaginitis",+91 96655 44331,shwetadesai@womenshealth.org
Dr. Vivek Iyer,Orthopedist,"Joint Pain, Muscle Sprains, Ligament Tears, Hip Replacement, Shoulder Injuries",18,4.5,Hyderabad,"Carpal Tunnel Syndrome, Rotator Cuff Tears, Spinal Disc Herniation",+91 95544 33220,vivekiyer@orthopedics.com
Dr. Divya Menon,Pediatrician,"Developmental Delays, Childhood Illnesses, Immunizations, Nutrition, Allergies",11,4.4,Kolkata,"Croup, Fifth Disease, Roseola",+91 94433 22119,divyamenon@pediatrics.in
Dr. Karan Verma,Gastroenterologist,"Heartburn, Bloating, Nausea, Vomiting, Liver Disease",24,4.9,Pune,"Celiac Disease, Ulcerative Colitis, Hepatitis",+91 93322 11008,karanverma@gastroclinic.com
Dr. Aishwarya Rao,Endocrinologist,"Metabolic Disorders, Pituitary Problems, Adrenal Gland Issues, Osteoporosis",5,3.9,Ahmedabad,"Gestational Diabetes, Cushing's Syndrome, Addison's Disease",+91 92211 00997,aishwaryarao@endocrinology.net
Dr. Sachin Joshi,Urologist,"Bladder Problems, Erectile Dysfunction, Male Infertility, Prostate Cancer",17,4.7,Jaipur,"Overactive Bladder, Prostate Cancer, Testicular Cancer",+91 91100 99886,sachinjoshi@urology.org
Dr. Tanvi Patel,Ophthalmologist,"Refractive Errors, Retinal Detachment, Eye Trauma, Corneal Diseases",3,3.7,Lucknow,"Age-related Macular Degeneration (AMD), Glaucoma, Cataracts",+91 90099 88775,tanvipatel@eyeclinic.com
Dr. Deepak Mishra,Cardiologist,"Angina, Congestive Heart Failure, High Triglycerides, Pacemaker Implantation",21,4.8,Mumbai,"Atherosclerosis, Cardiac Arrhythmias, Peripheral Artery Disease (PAD)",+91 98987 65433,deepakmishra@heartcare.com
Dr. Kavita Singh,Dermatologist,"Warts, Moles, Skin Cancer Screening, Chemical Peels, Laser Hair Removal",13,4.5,Delhi,"Melanoma, Basal Cell Carcinoma, Squamous Cell Carcinoma",+91 99677 65422,kavitasingh@dermacare.in
Dr. Sanjay Reddy,Neurologist,"Epilepsy, Multiple Sclerosis, Neuropathy, Alzheimer's Disease, Stroke Rehabilitation",29,4.9,Bangalore,"Frontotemporal Dementia, Lewy Body Dementia, Vascular Dementia",+91 97988 76511,sanjayreddy@neurospecialists.com
Dr. Lakshmi Iyer,Gynecologist,"Prenatal Care, Postnatal Care, Family Planning, Hysterectomy, Pap Smears",4,4.1,Chennai,"Cervical Dysplasia, Ectopic Pregnancy, Pelvic Inflammatory Disease (PID)",+91 96877 65400,lakshmiiyer@womenshealthclinic.in
Dr. Rajesh Verma,Orthopedist,"Joint Replacement, Arthroscopy, Sports Medicine, Bone Tumors, Fracture Management",35,4.7,Hyderabad,"Osteomyelitis, Septic Arthritis, Avascular Necrosis",+91 95766 54399,rajeshverma@orthodoc.com
Dr. Meena Sharma,Pediatrician,"Childhood Vaccinations, Growth Monitoring, Developmental Assessment, Behavioral Issues",2,3.8,Kolkata,"Attention-Deficit/Hyperactivity Disorder (ADHD), Autism Spectrum Disorder (ASD), Cerebral Palsy",+91 94655 43288,meenasharma@pediatrics.net
Dr. Arvind Kumar,Gastroenterologist,"Colonoscopy, Endoscopy, Liver Biopsy, Inflammatory Bowel Disease, Pancreatitis",26,4.6,Pune,"Primary Biliary Cholangitis (PBC), Autoimmune Hepatitis, Pancreatic Cancer",+91 93544 32177,arvindkumar@gastrodrs.com
Dr. Smita Desai,Endocrinologist,"Diabetes Management, Thyroid Nodules, Osteoporosis Treatment, Growth Hormone Deficiency",1,3.6,Ahmedabad,"Acromegaly, Conn's Syndrome, Cushing's Disease",+91 92433 21066,smitadesai@endoexperts.com
Dr. Vineet Kapoor,Urologist,"Kidney Stone Removal, Prostate Enlargement Treatment, Bladder Cancer, Vasectomy",38,5.0,Jaipur,"Benign Prostatic Hyperplasia (BPH), Interstitial Cystitis, Peyronie's Disease",+91 91322 10955,vineetkapoor@urologyassociates.in
Dr. Shalini Rao,Ophthalmologist,"LASIK Surgery, Cataract Surgery, Glaucoma Treatment, Diabetic Retinopathy Screening",19,4.3,Lucknow,"Branch Retinal Vein Occlusion (BRVO), Central Retinal Vein Occlusion (CRVO), Optic Neuritis",+91 90211 09844,shalinirao@eyeinstitute.com
Dr. Rohit Khanna,Cardiologist,"Heart Murmurs, Angioplasty, Stent Placement, Cardiac Rehabilitation, Echocardiography",11,4.4,Mumbai,"Mitral Valve Prolapse, Tricuspid Valve Regurgitation, Aortic Stenosis",+91 98101 12233,rohitkhanna@cardiocare.com
Dr. Maya Sharma,Dermatologist,"Melasma, Vitiligo, Laser Resurfacing, Botox Injections, Fillers",7,4.0,Delhi,"Pityriasis Rosea, Lichen Planus, Seborrheic Dermatitis",+91 99001 12244,mayasharma@skinclinic.in
Dr. Prashant Singh,Neurologist,"Peripheral Neuropathy, Carpal Tunnel Syndrome, Bell's Palsy, Trigeminal Neuralgia",23,4.7,Bangalore,"Postherpetic Neuralgia, Sciatica, Thoracic Outlet Syndrome",+91 97001 12255,prashantsingh@neurocenter.com
Dr. Anika Patel,Gynecologist,"Laparoscopic Surgery, In Vitro Fertilization (IVF), Intrauterine Insemination (IUI)",15,4.6,Chennai,"Recurrent Pregnancy Loss, Asherman's Syndrome, Vulvodynia",+91 96001 12266,anikapatel@womenshealth.com
Dr. Vikram Singh,Orthopedist,"ACL Reconstruction, Meniscus Repair, Rotator Cuff Surgery, Hip Arthroscopy",31,4.9,Hyderabad,"Bursitis, Tendinitis, Plantar Fasciitis",+91 95001 12277,vikramsingh@orthopedicclinic.in
Dr. Neha Verma,Pediatrician,"Asthma Management, Allergy Testing, Eczema Treatment, Infant Feeding",9,4.2,Kolkata,"Food Allergies, Milk Protein Allergy, Lactose Intolerance",+91 94001 12288,nehaverma@kidscare.org
Dr. Suresh Sharma,Gastroenterologist,"Endoscopic Ultrasound (EUS), Capsule Endoscopy, Liver Cirrhosis Management",17,4.5,Pune,"Esophageal Varices, Ascites, Hepatic Encephalopathy",+91 93001 12299,sureshsharma@gastrohealth.com
Dr. Deepika Gupta,Endocrinologist,"Insulin Pump Therapy, Continuous Glucose Monitoring, Thyroid Cancer",6,3.9,Ahmedabad,"Hashimoto's Thyroiditis, Graves' Disease, Parathyroid Disorders",+91 92001 12300,deepikagupta@endoalliance.com
Dr. Amit Verma,Urologist,"Prostate Biopsy, Robotic Surgery, Ureteroscopy, Male Sexual Dysfunction",33,4.8,Jaipur,"Epididymitis, Hydrocele, Varicocele",+91 91001 12311,amitverma@urologist.net
Dr. Ritu Kapoor,Ophthalmologist,"Retinal Laser Treatment, Cataract Surgery, Glaucoma Drainage Devices",27,4.7,Lucknow,"Age-Related Macular Degeneration, Diabetic Macular Edema, Retinal Detachment",+91 90001 12322,ritukapoor@eyedoctor.com
Dr. Rohan Sharma,Cardiologist,"Heart Failure, Valve Disease, Echocardiography, Stress Test, Angiography",18,4.5,Mumbai,"Cardiomyopathy, Congenital Heart Defects, Pericarditis",+91 98765 43211,rohansharma@cardiocenter.com
Dr. Anjali Verma,Dermatologist,"Acne Treatment, Eczema Management, Psoriasis Therapy, Skin Cancer Screening, Mole Removal",9,4.1,Delhi,"Warts, Rosacea, Seborrheic Dermatitis",+91 99876 54322,anjaliverma@dermaclinic.com
Dr. Vikram Patel,Neurologist,"Headache, Migraine, Seizures, Stroke, Parkinson's Disease",24,4.8,Bangalore,"Multiple Sclerosis, Alzheimer's Disease, Neuropathy",+91 97654 32110,vikrampatel@neurocare.in
Dr. Neha Singh,Gynecologist,"Pregnancy Care, Infertility Treatment, Menopause Management, PCOS, Fibroids",13,4.4,Chennai,"Endometriosis, Ovarian Cysts, Pelvic Inflammatory Disease",+91 96543 21109,nehasingh@womensclinic.com
Dr. Suresh Reddy,Orthopedist,"Knee Pain, Back Pain, Arthritis, Fractures, Sports Injuries",29,4.7,Hyderabad,"Osteoarthritis, Rheumatoid Arthritis, Spinal Stenosis",+91 95432 11098,sureshreddy@boneandjointcenter.com
Dr. Deepika Kapoor,Pediatrician,"Fever, Cough, Cold, Vaccinations, Growth and Development",8,4.3,Kolkata,"Asthma, Allergies, Chickenpox",+91 94321 10987,deepikakapoor@kidshealthcenter.com
Dr. Amit Kumar,Gastroenterologist,"Abdominal Pain, Indigestion, Constipation, Diarrhea, Ulcers",20,4.6,Pune,"Acid Reflux, Irritable Bowel Syndrome, Crohn's Disease",+91 93211 09876,amitkumar@digestivehealthclinic.com
Dr. Ritu Patel,Endocrinologist,"Diabetes, Thyroid Problems, Hormonal Imbalance, Weight Management",15,4.5,Ahmedabad,"Hyperthyroidism, Hypothyroidism, PCOS",+91 92110 98765,ritupatel@endohealthclinic.in
Dr. Sachin Sharma,Urologist,"Kidney Stones, Urinary Infections, Prostate Problems, Incontinence",11,4.2,Jaipur,"Benign Prostatic Hyperplasia, Urinary Tract Infections, Kidney Cancer",+91 91098 76544,sachinsharma@urologycenter.com
Dr. Tanvi Kumar,Ophthalmologist,"Vision Problems, Cataracts, Glaucoma, Eye Infections, Dry Eyes",26,4.8,Lucknow,"Diabetic Retinopathy, Macular Degeneration, Conjunctivitis",+91 90987 65433,tanvikumar@eyecareclinic.com
Dr. Deepak Singh,Cardiologist,"Chest Pain, Palpitations, Shortness of Breath, High Cholesterol, ECG",17,4.6,Mumbai,"Hypertension, Coronary Artery Disease, Heart Failure",+91 98876 54323,deepaksingh@heartcare.com
Dr. Kavita Sharma,Dermatologist,"Acne, Eczema, Psoriasis, Hair Loss, Skin Allergies",10,4.2,Delhi,"Skin Infections, Dermatitis, Pigmentation Disorders",+91 99765 43234,kavitasharma@skincaredelhi.com
Dr. Sanjay Verma,Neurologist,"Headaches, Migraines, Seizures, Stroke, Parkinson's",23,4.9,Bangalore,"Epilepsy, Multiple Sclerosis, Neuropathy",+91 97765 43245,sanjayverma@brainhealth.com
Dr. Lakshmi Patel,Gynecologist,"Pregnancy, Infertility, Menopause, PCOS, Fibroids",14,4.5,Chennai,"Uterine Fibroids, Endometriosis, Ovarian Cysts",+91 96654 32345,lakshmipatel@womenshealth.in
Dr. Rajesh Kumar,Orthopedist,"Knee Pain, Back Pain, Arthritis, Fractures, Sports Injuries",30,4.8,Hyderabad,"Osteoarthritis, Rheumatoid Arthritis, Spinal Stenosis",+91 95543 23456,rajeshkumar@boneandjoint.com
Dr. Meena Singh,Pediatrician,"Fever, Cough, Cold, Vaccinations, Growth Issues",9,4.3,Kolkata,"Asthma, Chickenpox, Measles",+91 94432 34567,meenasingh@kidshealth.org
Dr. Arvind Sharma,Gastroenterologist,"Abdominal Pain, Indigestion, Constipation, Diarrhea, Ulcers",21,4.7,Pune,"Acid Reflux, Irritable Bowel Syndrome, Crohn's Disease",+91 93323 45678,arvindsharma@digestivehealth.com
Dr. Smita Patel,Endocrinologist,"Diabetes, Thyroid Problems, Hormonal Imbalance, Weight Gain",16,4.6,Ahmedabad,"Hyperthyroidism, Hypothyroidism, PCOS",+91 92213 45679,smitapatel@endohealth.in
Dr. Vineet Kumar,Urologist,"Kidney Stones, Urinary Infections, Prostate Problems, Incontinence",12,4.4,Jaipur,"Benign Prostatic Hyperplasia, Urinary Tract Infections, Kidney Cancer",+91 91103 45680,vineetkumar@urologyclinic.com
Dr. Shalini Sharma,Ophthalmologist,"Vision Problems, Cataracts, Glaucoma, Eye Infections, Dry Eyes",27,4.9,Lucknow,"Diabetic Retinopathy, Macular Degeneration, Conjunctivitis",+91 90093 45681,shalinisharma@eyecarecenter.com
Dr. Rohit Singh,Cardiologist,"Shortness of Breath, Chest Discomfort, Arrhythmias, High Blood Pressure",10,4.1,Mumbai,"Atrial Fibrillation, Cardiomyopathy, Valvular Heart Disease",+91 98987 65434,rohitsingh@cardio.in
Dr. Maya Verma,Dermatologist,"Rash, Itching, Skin Lesions, Rosacea, Sun Damage",17,4.7,Delhi,"Acne Scars, Eczema, Fungal Infections",+91 99677 65433,mayaverma@skindocs.com
